Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
d652a696-1aab-4725-84bc-cc0a267ca60f,2023-08-13 15:53:00,Walking,,2.00,15:45,7:54,7.60,158.0,18,,"","",2023-08-13-155300.gpx
e0abf0f5-0723-4523-97ff-01922ed70bb1,2023-08-13 07:46:33,Running,,12.16,1:31:56,7:33,7.94,1066.0,590,,"","",2023-08-13-074633.gpx
0360edc8-99af-401e-a5a9-5399fca23a32,2023-08-11 15:14:53,Walking,,1.68,14:11,8:26,7.12,132.0,16,,"","",2023-08-11-151453.gpx
933fa847-65ce-4aa9-944e-feb58ea7f457,2023-08-11 10:49:04,Running,,5.02,26:58,5:22,11.18,433.0,96,,"","",2023-08-11-104904.gpx
c0c4f02f-f2b0-466e-83e1-03a975c60a31,2023-08-10 15:34:08,Walking,,1.96,15:27,7:53,7.61,154.0,17,,"","",2023-08-10-153408.gpx
3cc223e8-1cd3-4741-8d22-a79034778561,2023-08-10 08:18:50,Running,,8.00,42:24,5:18,11.32,678.0,113,,"","",2023-08-10-081850.gpx
9a1e3253-9659-4b50-911e-a7cb183543d0,2023-08-09 15:13:02,Running,,5.01,27:24,5:28,10.98,432.0,95,,"","",2023-08-09-151302.gpx
db1835b2-b455-45ce-9fc2-3724f052279a,2023-08-09 14:52:37,Walking,,2.04,16:41,8:10,7.35,158.0,17,,"","",2023-08-09-145237.gpx
678ec199-241c-4e99-abfb-52d501ecfa51,2023-08-08 08:17:22,Running,,8.00,46:08,5:46,10.40,679.0,113,,"","",2023-08-08-081722.gpx
47b38788-ff9c-43dc-ac50-e042bf8dc761,2023-08-07 11:34:17,Walking,,1.94,16:02,8:17,7.24,151.0,17,,"","",2023-08-07-113417.gpx
ab814b1a-6c84-470b-ab90-31c905d1449f,2023-08-07 09:34:16,Running,,1.78,9:04,5:05,11.79,147.0,18,,"","",2023-08-07-093416.gpx
0dc03b78-f6b0-4185-ada9-b7af3fd4f315,2023-08-07 09:10:01,Running,,4.31,23:27,5:26,11.03,381.0,102,,"","",2023-08-07-091001.gpx
05447153-8020-4045-ba03-089c273bfd2e,2023-08-06 10:37:23,Walking,,1.67,14:25,8:36,6.97,130.0,16,,"","",2023-08-06-103723.gpx
739bf296-5dfc-4353-b748-a9aa6f91fb76,2023-08-06 06:56:15,Running,,15.44,1:33:00,6:01,9.96,1300.0,214,,"","",2023-08-06-065615.gpx
c228515e-ce65-4466-a925-d281360f975f,2023-08-05 09:18:39,Running,,4.06,25:21,6:15,9.60,357.0,96,,"","",2023-08-05-091839.gpx
820838cb-40b6-4ecd-8443-1bff8385300c,2023-08-03 15:13:45,Walking,,2.09,16:27,7:53,7.61,166.0,19,,"","",2023-08-03-151345.gpx
03e17980-dfba-4c5c-9a99-9ebef24bac30,2023-08-03 10:48:39,Running,,5.09,26:10,5:08,11.68,438.0,96,,"","",2023-08-03-104839.gpx
cc473bb3-51ec-4bf2-a3f1-85b1fc9fceab,2023-08-02 16:55:38,Running,,3.50,19:20,5:31,10.86,301.0,66,,"","",2023-08-02-165538.gpx
b0ea8a12-118b-4344-9723-68295d7e54ab,2023-08-02 16:13:33,Walking,,1.88,16:21,8:42,6.90,150.0,17,,"","",2023-08-02-161333.gpx
d330c91a-fc87-4b11-827c-254236049a1f,2023-08-01 15:03:37,Walking,,2.07,16:43,8:06,7.41,160.0,18,,"","",2023-08-01-150337.gpx
a456f305-f780-414b-b1f2-c3c652f1abdd,2023-08-01 08:15:27,Running,,7.95,41:24,5:12,11.53,673.0,113,,"","",2023-08-01-081527.gpx
b1fd072c-294f-4dbb-8136-1bf6571f2198,2023-07-31 11:38:57,Walking,,1.81,14:44,8:08,7.37,147.0,17,,"","",2023-07-31-113857.gpx
7a55a468-7169-479e-8b9a-3847f8289ecd,2023-07-31 10:37:24,Running,,5.15,26:33,5:09,11.63,444.0,96,,"","",2023-07-31-103724.gpx
ead09edc-c40a-42ec-b158-9f3f329479b4,2023-07-30 10:03:02,Walking,,1.70,16:17,9:36,6.25,125.0,16,,"","",2023-07-30-100302.gpx
65d6bbc7-6a67-486f-b2aa-8657d822d437,2023-07-30 08:53:31,Running,,5.10,28:31,5:35,10.73,440.0,96,,"","",2023-07-30-085331.gpx
24951a0a-2fd7-4505-8a3c-c598b7d50b16,2023-07-29 09:21:23,Running,,5.00,19:41,3:56,15.23,422.0,91,,"","",2023-07-29-092123.gpx
530a3557-5b4e-4202-a5a4-e712a2cc82ac,2023-07-29 09:05:12,Running,,1.18,7:43,6:31,9.20,114.0,52,,"","",2023-07-29-090512.gpx
ad0002fb-2efb-4a32-8f69-e5d008327064,2023-07-27 11:01:43,Walking,,1.71,14:44,8:38,6.95,131.0,16,,"","",2023-07-27-110143.gpx
